canonical_id,human_claim,lean_kind,lean_name,depends_on,proof_status,kill_condition,bridge_status,claimed_type,definition_status,drift,mapped_to_claim,unit,file,line,signature
TPB-0019,,inductive,DomainKind,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Final_Lean4_From_Excel.lean,134,"inductive DomainKind where | nonnegative | signedAlignment | positive | binary | unitInterval deriving DecidableEq, Repr"
TPB-0020,,inductive,BridgeMechanism,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Final_Lean4_From_Excel.lean,138,"inductive BridgeMechanism where | externalInput | referenceAlignment | signalFidelity | entropyGradient | temporalIntegration | compression | thresholdTransition | unresolvedPossibility | nonlocalCorrelation | totalIntegration deriving DecidableEq, Repr"
TPB-0021,,inductive,BridgeTendency,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Final_Lean4_From_Excel.lean,144,"inductive BridgeTendency where | constructive | bidirectional | destructiveAntitone | integrative | gate deriving DecidableEq, Repr"
TPB-0022,,structure,FactorSignature,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Final_Lean4_From_Excel.lean,148,"structure FactorSignature where domain : DomainKind mechanism : BridgeMechanism tendency : BridgeTendency deriving DecidableEq, Repr"
TPB-0023,,def,signatureOfFactor,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Final_Lean4_From_Excel.lean,154,def signatureOfFactor : Factor → FactorSignature | Factor.G => { domain
TPB-0024,REJECTION: Swapping graceâ†”faith breaks the signature,theorem,grace_swapped_with_faith_invalid,MISSING,PROVEN (compiles),PLACEHOLDER,Formal-internal candidate (structural correspondence),C2 - Structural correspondence candidate,PLACEHOLDER,,yes,Faith-Thru-Physics-Lean-4-,Final_Lean4_From_Excel.lean,202,theorem grace_swapped_with_faith_invalid : signatureOfFactor G ≠ signatureOfFactor F
TPB-0025,REJECTION: Swapping entropyâ†”grace breaks the signature,theorem,entropy_swapped_with_grace_invalid,MISSING,PROVEN (compiles),PLACEHOLDER,Formal-internal candidate (structural correspondence),C2 - Structural correspondence candidate,PLACEHOLDER,,yes,Faith-Thru-Physics-Lean-4-,Final_Lean4_From_Excel.lean,206,theorem entropy_swapped_with_grace_invalid : signatureOfFactor S ≠ signatureOfFactor G
TPB-0026,REJECTION: Kâ†”F swap rejected,theorem,compression_swapped_with_communion_invalid,MISSING,PROVEN (compiles),PLACEHOLDER,Formal-internal candidate (structural correspondence),C2 - Structural correspondence candidate,PLACEHOLDER,,yes,Faith-Thru-Physics-Lean-4-,Final_Lean4_From_Excel.lean,210,theorem compression_swapped_with_communion_invalid : signatureOfFactor K ≠ signatureOfFactor F
TPB-0027,,def,physicalToSpiritual,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Final_Lean4_From_Excel.lean,217,def physicalToSpiritual : Factor → Factor | Factor.G => Factor.G | Factor.M => Factor.M | Factor.E => Factor.E | Factor.S => Factor.S | Factor.T => Factor.T
TPB-0028,,structure,Controls,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Final_Lean4_From_Excel.lean,239,structure Controls where sourceBackedTruth : Bool relation : Bool unresolved : Bool commandBypass : Bool phaseInversion : Bool
TPB-0029,REJECTION: Command bypass â†’ E = 0 (âˆ€ states). Bypassing command kills truth-fidelity.,theorem,law3_command_bypass_forces_E_zero,MISSING,PROVEN (compiles),PLACEHOLDER,Formal-internal candidate (structural correspondence),C2 - Structural correspondence candidate,PLACEHOLDER,,yes,Faith-Thru-Physics-Lean-4-,Final_Lean4_From_Excel.lean,257,"theorem law3_command_bypass_forces_E_zero (x : FactorState) : (∃ c : Controls, c.commandBypass = true) → ((if true then (0 : Nat) else x.E) = 0)"
TPB-0030,REJECTION: Phase inversion â†’ E = 0 (âˆ€ states). Inverted alignment kills truth.,theorem,law3_phase_inversion_forces_E_zero,MISSING,PROVEN (compiles),PLACEHOLDER,Formal-internal candidate (structural correspondence),C2 - Structural correspondence candidate,PLACEHOLDER,,yes,Faith-Thru-Physics-Lean-4-,Final_Lean4_From_Excel.lean,263,"theorem law3_phase_inversion_forces_E_zero (x : FactorState) : (∃ c : Controls, c.phaseInversion = true) → ((if true then (0 : Nat) else x.E) = 0)"
TPB-0031,"REJECTION: Relation bypass â†’ R = 0. No relation, no frame translation.",theorem,law7_relation_bypass_forces_R_zero,MISSING,PROVEN (compiles),PLACEHOLDER,Formal-internal candidate (structural correspondence),C2 - Structural correspondence candidate,PLACEHOLDER,,yes,Faith-Thru-Physics-Lean-4-,Final_Lean4_From_Excel.lean,270,"theorem law7_relation_bypass_forces_R_zero : ∀ c : Controls, c.relation = false → c.relation = false"
TPB-0032,REJECTION: Frame lock â†’ R = 0,theorem,law7_frame_lock_forces_R_zero,MISSING,PROVEN (compiles),PLACEHOLDER,Formal-internal candidate (structural correspondence),C2 - Structural correspondence candidate,PLACEHOLDER,,yes,Faith-Thru-Physics-Lean-4-,Final_Lean4_From_Excel.lean,273,"theorem law7_frame_lock_forces_R_zero : ∀ c : Controls, c.frameLock = true → c.frameLock = true"
TPB-0033,,def,binaryGate,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Final_Lean4_From_Excel.lean,277,def binaryGate (s : Nat) : Nat
TPB-0034,,def,isCross,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Final_Lean4_From_Excel.lean,298,def isCross (x : FactorState) : Prop
TPB-0035,,theorem,cross_is_unique_convergence_configuration,,PROVEN (compiles),,Formal-internal,,,,no,Faith-Thru-Physics-Lean-4-,Final_Lean4_From_Excel.lean,308,"theorem cross_is_unique_convergence_configuration (x : FactorState) : isCross x ↔ x = ⟨1,1,1,1,1,1,1,1,1,1⟩"
TPB-0036,,theorem,cross_unique_solution,,PROVEN (compiles),,Formal-internal,,,,no,Faith-Thru-Physics-Lean-4-,Final_Lean4_From_Excel.lean,321,"theorem cross_unique_solution : (∃ x : FactorState, isCross x) ∧ ∀ x y : FactorState, isCross x → isCross y → x = y"
TPB-0037,REJECTION: But the coherence gate rejects them. Arithmetic sign â‰  moral sign.,theorem,two_destructive_signs_do_not_pass_coherence_gate,MISSING,PROVEN (compiles),PLACEHOLDER,Formal-internal candidate (structural correspondence),C2 - Structural correspondence candidate,PLACEHOLDER,,yes,Faith-Thru-Physics-Lean-4-,Final_Lean4_From_Excel.lean,335,theorem two_destructive_signs_do_not_pass_coherence_gate : binaryGate 2 = 1
TPB-0038,REJECTION: Burden coupling: negative + negative = negative. Accumulation does not redeem.,theorem,burden_two_negatives_stay_negative,MISSING,PROVEN (compiles),PLACEHOLDER,Formal-internal candidate (structural correspondence),C2 - Structural correspondence candidate,PLACEHOLDER,,yes,Faith-Thru-Physics-Lean-4-,Final_Lean4_From_Excel.lean,339,theorem burden_two_negatives_stay_negative : ((-1 : Int) + (-1)) < 0
TPB-0039,,theorem,pipeline_all_the_way_through,,PROVEN (compiles),,Formal-internal,,,,no,Faith-Thru-Physics-Lean-4-,Final_Lean4_From_Excel.lean,345,"theorem pipeline_all_the_way_through : (CouplingState.C0 ≠ CouplingState.C1) ∧ chi ⟨1,1,1,1,1,1,1,1,1,1⟩ = 1 ∧ (binaryGate 5 = 0 ∨ binaryGate 5 = 1) ∧ isCross ⟨1,1,1,1,1,1,1,1,1,1⟩"
TPB-0040,,theorem,no_grace_faith_signature_alias,,PROVEN (compiles),,Formal-internal,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,27,theorem no_grace_faith_signature_alias : ¬ (signatureOfFactor Factor.G = signatureOfFactor Factor.F)
TPB-0041,,theorem,no_entropy_grace_signature_alias,,PROVEN (compiles),,Formal-internal,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,32,theorem no_entropy_grace_signature_alias : ¬ (signatureOfFactor Factor.S = signatureOfFactor Factor.G)
TPB-0042,,theorem,no_compression_communion_signature_alias,,PROVEN (compiles),,Formal-internal,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,37,theorem no_compression_communion_signature_alias : ¬ (signatureOfFactor Factor.K = signatureOfFactor Factor.F)
TPB-0043,,theorem,no_mere_order_as_full_coherence,,PROVEN (compiles),,Formal-internal,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,56,theorem no_mere_order_as_full_coherence : coherent coerciveOrder = false
TPB-0044,,theorem,no_passive_entropy_as_active_evil,,PROVEN (compiles),,Formal-internal,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,60,theorem no_passive_entropy_as_active_evil : isActiveDiscoherence passiveEntropySlope = false
TPB-0045,,theorem,no_closed_system_self_restoration,,PROVEN (compiles),,Formal-internal,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,64,theorem no_closed_system_self_restoration : canRestore closedWithoutInput = false
TPB-0046,,theorem,no_random_gap_as_structured_scar,,PROVEN (compiles),,Formal-internal,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,68,theorem no_random_gap_as_structured_scar : structuredScar randomGap = false
TPB-0047,,theorem,no_local_indeterminacy_alone_as_fracture,,PROVEN (compiles),,Formal-internal,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,72,theorem no_local_indeterminacy_alone_as_fracture : fractured indeterminateOnly = false
TPB-0048,,theorem,no_fracture_repair_without_restoration,,PROVEN (compiles),,Formal-internal,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,76,theorem no_fracture_repair_without_restoration : repairable structuredFracture = false
TPB-0049,,theorem,no_separation_only_as_fall,,PROVEN (compiles),,Formal-internal,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,80,theorem no_separation_only_as_fall : fallActivated separatedOnly = false
TPB-0050,,theorem,no_coupling_without_entanglement_as_fall,,PROVEN (compiles),,Formal-internal,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,84,theorem no_coupling_without_entanglement_as_fall : fallActivated coupledOnly = false
TPB-0051,,theorem,no_fall_sustained_without_grace_floor,,PROVEN (compiles),,Formal-internal,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,88,theorem no_fall_sustained_without_grace_floor : sustainedAfterFall fullFallWithoutGraceFloor = false
TPB-0052,,theorem,no_coercive_claim_as_coherent_product,,PROVEN (compiles),,Formal-internal,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,92,theorem no_coercive_claim_as_coherent_product : collapsed coerciveClaim = true
TPB-0053,,theorem,no_high_signal_low_freedom_as_clean_signal,,PROVEN (compiles),,Formal-internal,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,96,theorem no_high_signal_low_freedom_as_clean_signal : highSignalDeception highSignalLowFreedomClaim = true
TPB-0054,,theorem,no_decaying_pressure_as_positive_gradient,,PROVEN (compiles),,Formal-internal,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,100,theorem no_decaying_pressure_as_positive_gradient : inferTwoPointGradient strongButDecayingStart strongButDecayingEnd = GradientLabel.negative
TPB-0055,,inductive,Stage,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,201,inductive Stage where | pre | localization | release | confirmation | redistribution
TPB-0056,,def,stepBackAllowed,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,209,"def stepBackAllowed : Stage -> Stage -> Bool | Stage.localization, Stage.pre => false | Stage.confirmation, Stage.release => false | Stage.redistribution, Stage.confirmation => false | _, _ => false"
TPB-0057,,inductive,BridgeFailure,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,215,"inductive BridgeFailure where | coherenceConsequenceLockSwap | wrongPhysicalGrace | arbitraryFaithClone deriving DecidableEq, Repr"
TPB-0058,,def,bridgeFailureRejected,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,221,def bridgeFailureRejected : BridgeFailure -> Bool | BridgeFailure.coherenceConsequenceLockSwap => true | BridgeFailure.wrongPhysicalGrace => true | BridgeFailure.arbitraryFaithClone => true
TPB-0059,,def,arbitraryGraceCloneMatchesG,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,226,def arbitraryGraceCloneMatchesG : Bool
TPB-0060,,def,fullQNonzeroButOtherGateZero,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,228,def fullQNonzeroButOtherGateZero : FactorState
TPB-0061,,def,fullRGateCounterexample,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,231,def fullRGateCounterexample : FactorState
TPB-0062,,def,productOnlyDetectsSignatureSwap,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,234,def productOnlyDetectsSignatureSwap : Bool
TPB-0063,,def,signatureLayerDetectsGraceFaithSwap,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,235,def signatureLayerDetectsGraceFaithSwap : Bool
TPB-0064,,structure,FieldControl,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,237,structure FieldControl where relation : Bool
TPB-0065,,def,KGate,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,247,def KGate (c : FieldControl) : Nat
TPB-0066,,def,RGate,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,250,def RGate (c : FieldControl) : Nat
TPB-0067,,def,QGate,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,253,def QGate (c : FieldControl) : Nat
TPB-0068,,def,scoreGate,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,256,def scoreGate (sourceBacked : Bool) (controlBypass : Bool) : Nat
TPB-0069,,def,truthFidelity,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,259,def truthFidelity (sourceBacked : Bool) (controlBypass : Bool) : Nat
TPB-0070,,def,richIsoToNaturalCoin,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,262,def richIsoToNaturalCoin : Bool
TPB-0071,,def,richRelabeledCoinIsoBoundary,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,263,def richRelabeledCoinIsoBoundary : Bool
TPB-0072,,def,strongForceCoinIsoBoundary,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,264,def strongForceCoinIsoBoundary : Bool
TPB-0073,,def,faithCandidateRightInverse,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,265,def faithCandidateRightInverse : Bool
TPB-0074,,def,emCandidateRightInverse,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,266,def emCandidateRightInverse : Bool
TPB-0075,,def,invertedMappingPreservesValue,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,267,def invertedMappingPreservesValue : Bool
TPB-0076,,def,law4IsoUsesInvertedMapping,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,268,def law4IsoUsesInvertedMapping : Bool
TPB-0077,,def,misalignedCollapseRuleValid,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,269,def misalignedCollapseRuleValid : Bool
TPB-0078,,inductive,EMSystem,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,271,inductive EMSystem where | quaternion | vectorOnly | heavisideVector | modalist | staticSingleField
TPB-0079,,def,preservesCouplingInvariant,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,281,def preservesCouplingInvariant : EMSystem -> Bool | EMSystem.quaternion => true | _ => false
TPB-0080,,def,trinityStructureValid,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,285,def trinityStructureValid : EMSystem -> Bool | EMSystem.quaternion => true | _ => false
TPB-0081,,def,vectorOnlyDeterminesFullProduct,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,289,def vectorOnlyDeterminesFullProduct : Bool
TPB-0082,,def,sameDotCrossDeterminesQuaternionProduct,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,290,def sameDotCrossDeterminesQuaternionProduct : Bool
TPB-0083,,structure,JusticeMercyCase,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,292,structure JusticeMercyCase where offenderPays : Bool
TPB-0084,,def,satisfiesMercy,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,301,def satisfiesMercy (c : JusticeMercyCase) : Bool
TPB-0085,,def,satisfiesJustice,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,304,def satisfiesJustice (c : JusticeMercyCase) : Bool
TPB-0086,,inductive,Sign,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,307,"inductive Sign where | negative | neutral | positive deriving DecidableEq, Repr"
TPB-0087,,def,signAddGate,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,313,"def signAddGate : Sign -> Sign -> Sign | Sign.negative, Sign.positive => Sign.negative | Sign.negative, Sign.negative => Sign.negative | Sign.positive, Sign.positive => Sign.positive | _, _ => Sign.neutral"
TPB-0088,,def,convertedPositive,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,319,def convertedPositive (conversion : Bool) (a b : Sign) : Bool
TPB-0089,,def,visibleProjectionConflatesNegativeAndNeutral,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,322,def visibleProjectionConflatesNegativeAndNeutral : Bool
TPB-0090,,def,visibleRestorationErasesHistory,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,323,def visibleRestorationErasesHistory : Bool
TPB-0091,,def,chiViaCOpIsPlainScalarSelfMultiplication,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,324,def chiViaCOpIsPlainScalarSelfMultiplication : Bool
TPB-0092,,def,missionCOpIsRepairOnly,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,325,def missionCOpIsRepairOnly : Bool
TPB-0093,,def,resurrectionIdenticalToPreincarnateVisibleRecord,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,326,def resurrectionIdenticalToPreincarnateVisibleRecord : Bool
TPB-0094,,structure,MemoryCase,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,328,structure MemoryCase where recorded : Bool
TPB-0095,,def,retainedMemory,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,336,def retainedMemory (m : MemoryCase) : Bool
TPB-0096,,def,validConversion,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,339,def validConversion (m : MemoryCase) : Bool
TPB-0097,,def,heavenEntryAllowed,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,342,def heavenEntryAllowed (m : MemoryCase) : Bool
TPB-0098,,def,promiseParallelWithDeathAndJudgment,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,345,def promiseParallelWithDeathAndJudgment : Bool
TPB-0099,,def,deathStrictlyBeforeJudgment,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,346,def deathStrictlyBeforeJudgment : Bool
TPB-0100,,def,energyParentOfMomentum,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,347,def energyParentOfMomentum : Bool
TPB-0101,,structure,HitRateCase,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,349,structure HitRateCase where hits : Nat attempts : Nat denominatorClosed : Bool hiddenDenominator : Bool failedAttemptsIncluded : Bool
TPB-0102,,def,canClaimPercent,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,358,def canClaimPercent (h : HitRateCase) (percent : Nat) : Bool
TPB-0103,,def,closedEightOfTen,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,365,def closedEightOfTen : HitRateCase
TPB-0104,No backward step from localization to pre. Irreversible.,theorem,no_stage_step_back_to_pre_from_localization,MISSING,PROVEN (compiles),PLACEHOLDER,Formal-internal candidate (structural correspondence),C2 - Structural correspondence candidate,PLACEHOLDER,,yes,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,374,theorem no_stage_step_back_to_pre_from_localization : stepBackAllowed Stage.localization Stage.pre = false
TPB-0105,No backward step from confirmation to release,theorem,no_stage_step_back_to_release_from_confirmation,MISSING,PROVEN (compiles),PLACEHOLDER,Formal-internal candidate (structural correspondence),C2 - Structural correspondence candidate,PLACEHOLDER,,yes,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,378,theorem no_stage_step_back_to_release_from_confirmation : stepBackAllowed Stage.confirmation Stage.release = false
TPB-0106,No backward step from redistribution to confirmation,theorem,no_stage_step_back_to_confirmation_from_redistribution,MISSING,PROVEN (compiles),PLACEHOLDER,Formal-internal candidate (structural correspondence),C2 - Structural correspondence candidate,PLACEHOLDER,,yes,Faith-Thru-Physics-Lean-4-,Theophysics_Adversarial.lean,382,theorem no_stage_step_back_to_confirmation_from_redistribution : stepBackAllowed Stage.redistribution Stage.confirmation = false
